,input,prediction,ground_truth
696,Mary is interested in gardening. Her husband Tom enjoys mowing the grass. Tom and Mary are likely to hire a lawn maintenance company.,0,0
697,Mary is interested in gardening. Her husband Tom enjoys mowing the grass. Tom and Mary are unlikely to hire a lawn maintenance company.,0,1
698,The immunity of an adult of age 21 years is generally better than a child of age 10 years.,1,1
699,The immunity of a child of age 10 years is generally better than an adult of age 21 years.,1,0
700,It is better for Bert's health if he quits smoking after one year rather than after five.,1,1
701,It is better for Bert's health if he quits smoking after five years rather than after one.,1,0
702,The PC from 2010 that cost $3000 is likely less powerful than a New PC that cost $500.,1,1
703,The PC from 2010 that cost $3000 is likely more powerful than a New PC that cost $500.,1,0
704,"Alex has been living in her apartment for 3 years, while Ruby has only lived there 3 months. Of the two, Alex is more likely to be able to predict accurate electric costs for the coming months.",0,1
705,"Alex has been living in her apartment for 3 years, while Ruby has only lived there 3 months. Of the two, Ruby is more likely to be able to predict accurate electric costs for the coming months.",0,0
706,A 3 year old is more likely to want a social media account than a 13 year old.,1,0
707,A 13 year old is more likely to want a social media account than a 3 year old.,1,1
708,I easily understood what my friend was saying because they had food in their mouth.,1,0
709,I had a hard time trying to understand what my friend was saying because they had food in their mouth.,1,1
710,Ryan is a firefighter; he is less relevant at an explosion site than at a bank robbery.,1,0
711,Ryan is a firefighter; he is more relevant at an explosion site than at a bank robbery.,1,1
712,Maggie in the US sent a letter to her boyfriend living in Europe. She expects it to arrive next month rather than today.,1,1
713,Maggie in the US sent a letter to her boyfriend living in Europe. She expects it to arrive today rather than next month.,1,0
714,"John knew Lisa was single, so it was ok for him to ask her on a date for Valentine's Day.",1,1
715,"John knew Lisa was in a serious relationship, so it was ok for him to ask her on a date for Valentine's Day.",1,0
716,As her school day is fast approaching in two days she wants to invite her friend after 3 days rather than today.,1,0
717,As her school day is fast approaching in two days she wants to invite her friend today rather than after 3 days.,1,1
718,Brushes with thin bristles can better clean the gaps between keys on a keyboard.,1,1
719,Brushes with wet bristles can better clean the gaps between keys on a keyboard.,1,0
720,"Since his roommate is taking a test, he should make breakfast using the stove instead of the blender.",0,1
721,"Since his roommate is taking a test, he should make breakfast using the blender instead of the stove.",0,0
722,"When looking for a quiet place to read, it's better to go to the park than a rock concert",0,1
723,"When looking for a quiet place to read, it's better to go to a rock concert than the park",0,0
724,The clothes I have been wearing for five years are likely to have more holes than those I got this year.,1,1
725,The clothes I have been wearing for five years must be less worn out than those I got this year.,1,0
726,"Reggie and Timmy are neighbors who live in very large mansions. Reggie works as a house cleaner, while Timmy works as a coal miner. Reggie's house is more likely to be clean.",0,1
727,"Reggie and Timmy are neighbors who live in very large mansions. Reggie works as a house cleaner, while Timmy works as a coal miner. Timmy's house is more likely to be clean.",0,0
728,"With school starting next week, there were likely a lot of people at the store buying school supplies.",1,1
729,"With school ending next week, there were likely a lot of people at the store buying school supplies.",1,0
730,"Jon needed to heat his frozen food, so he put it in the microwave for 10 hours.",1,0
731,"Jon needed to heat his frozen food, so he put it in the microwave for 2 minutes.",1,1
732,"If each computer takes 1 hour to build, he should plan to build 14 instead of 7 during his 8 hour shift.",0,0
733,"If each computer takes 1 hour to build, he should plan to build 7 instead of 14 during his 8 hour shift.",0,1
734,The politician claimed he believed in family values so only his usual voters voted for him.,1,1
735,The politician claimed he believed in family values so everyone voted for him.,1,0
736,The neighbors are more interested in asking 16-year-old Alexis to babysit than they are to ask 10-year-old David to babysit.,1,1
737,The neighbors are more interested in asking 10-year-old David to babysit than they are to ask 16-year-old Alexis to babysit.,1,0
738,"It's getting dark outside and there are not street lights, so I will start walking home in several hours instead of now.",1,0
739,"It's getting dark outside and there are no street lights, so I will start walking home now instead of later.",1,1
740,"Since Erica is afraid of heights, she decided to drive a car to her aunt’s house three states away rather than fly on an airplane.",0,1
741,"Since Erica is afraid of heights, she decided to fly on an airplane to her aunt’s house three states away rather than drive a car.",0,0
742,To pull something small from a drain you could use a log.,0,0
743,To pull something small from a drain you could use a vacuum.,1,1
744,It is more convenient for a person to wear a pillow than to wear a shirt.,1,0
745,It is more convenient for a person to wear a shirt than to wear a pillow.,1,1
746,"If the store doesn't have your exact shoe size, it is generally better to buy the next size down rather than the next size up.",1,0
747,"If the store doesn't have your exact shoe size, it is generally better to buy the next size up rather than the next size down.",1,1
748,Andrew and Jack will be playing football on opposing teams. Andrew will more likely pass the ball to Jack rather than to his teammate.,1,0
749,Andrew and Jack will be playing football on opposing teams. Andrew will more likely pass the ball to his teammate rather than to Jack.,0,1
750,"Rajesh wanted to buy his girlfriend a ring, so he went to a restaurent and purchased a burger.",0,0
751,"Rajesh wanted to buy his girlfriend a ring, so he went to a jeweler and purchased a ring.",0,1
752,"Traffic was heavy, so he decided to leave for work later than usual today.",1,0
753,"Traffic was heavy, so he decided to leave for work early today.",1,1
754,"James works six miles from his house, and he normally walks to work. His commute is probably shorter than thirty minutes.",0,0
755,"James works six miles from his house, and he normally walks to work. His commute is probably longer than an hour.",0,1
756,John can run 10K in one hour while Tammy can run a marathon in three hours. Tammy is faster.,0,1
757,John can run 10K in one hour while Tammy can run a marathon in three hours. John is faster.,0,0
758,It is easier to dig up a buried treasure using a spoon than it would be with a shovel.,1,0
759,It is not easier to dig up a buried treasure using a spoon than it would be with a shovel.,1,1
760,It would be more difficult to catch up in her classes if Petunia missed one day of school rather than four.,1,0
761,It would be more difficult to catch up in her classes if Petunia missed four days of school rather than one.,1,1
762,"Peter and Paul work at nights in alternate days, meaning Peter works one night, next night Paul and so on, last Monday Peter was at work, so this Monday Paul will be at work.",0,1
763,"Peter and Paul work at nights in alternate days, meaning Peter works one night, next night Paul and so on, last Monday Peter was at work, so this Monday Peter will be at work.",0,0
764,It makes more sense to eat breakfast before bedtime than it does to eat dinner.,1,0
765,It makes more sense to eat dinner before bedtime than it does to eat breakfast.,1,1
766,"Sophia couldn't stand the snow, so she dealt with it by moving in with her aunt in New York.",1,0
767,"Sophia couldn't stand the snow, so she dealt with it by moving in with her aunt in Phoenix.",1,1
768,"As three workers can load the suitcases, it should be quicker for one worker to do so.",1,0
769,"As three workers can load the suitcases, it should be quicker for five workers to do so.",1,1
770,You can move around more freely with your cell phone if it is being charged with a six feet cord rather than a one feet cord.,1,1
771,You can move around more freely with your cell phone if it is being charged with a one feet cord rather than a six feet cord.,1,0
772,It is more likely to achieve fluffier pancakes with no extra teaspoons of baking powder rather than half more.,1,0
773,It is more likely to achieve fluffier pancakes with one extra teaspoon of baking powder rather than none.,1,1
774,"Since I only gave Martha only a little bit of my allowance, I can buy my new TV.",1,1
775,"Since I nearly gave Martha most of my allowance, I can buy my new TV.",1,0
776,"Because she could lift the 20 lbs weight without a problem, we knew she could easily lift the 100 lb weight as well.",0,0
777,"Because she could lift the 20 lbs weight without a problem, we knew she could easily lift the 10 lb weight as well.",0,1
778,"When it's raining outside, it's a good idea to walk to work instead of driving.",1,0
779,"When it's raining outside, it's a good idea to drive to work instead of walking.",1,1
780,Sarah likes to eat junk food so she is likely to throw away a bag of chips offered by her friend.,1,0
781,Sarah likes to eat junk food so she is likely to consume a bag of chips offered by her friend.,1,1
